"Daily smokers"
"% of population aged 15+, 2010"
"Category";"Total";"Women";"Men"
"France";29,7;26,6;33,1
"Estonia";26,2;18,7;36,8
"Türkiye";25,4;12,3;39
"Italy";23,1;17,1;29,6
"Korea";22,9;5,2;40,8
"Czechia";22,8;16,5;29,3
"Netherlands";20,9;18,8;23,1
"Denmark";20,9;19,3;22,7
"United Kingdom";20,3;19,8;20,9
"Japan";19,5;8,4;32,2
"Finland";19;15,7;23,2
"Norway";19;19;19
"Israel";18,5;12,6;24,8
"Luxembourg";18,3;15,7;20,9
"Canada";16,3;13,7;19
"Australia";15,3;14,1;16,6
"United States";15,1;13,6;16,7
"Costa Rica";14,4;9,3;19,4
"Iceland";14,2;13,9;14,5
"Sweden";13,6;12,5;14,7
