"GDP per capita, current prices
 (U.S. dollars per capita)";1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029
Eswatini;1329,789;1359,195;1174,424;1167,158;963,592;736,012;909,797;1149,956;1320,95;1305,673;1558,18;1574,778;1703,465;1747,48;1851,22;2160,27;2005,245;2105,168;1914,241;1861,496;1818,67;1599,207;1473,717;2235,678;2797,022;3174,588;3262,223;3402,163;3214,488;3479,71;4263,91;4603,196;4628,132;4325,841;4133,645;3766,458;3513,8;4031,056;4226,975;4031,719;3535,09;4259,206;4161,741;4173,577;4375,286;4561,871;4725,87;4866,196;5014,547;5154,588
Ethiopia;227,616;228,061;233,306;251,399;229,991;260,757;262,316;271,537;272,448;277,391;284,636;304,279;310,307;186,665;160,749;151,063;163,498;155,766;137,366;128,578;136,056;131,565;123,874;132,704;152,16;181,49;218,637;266,894;350,57;373,199;341,103;377,694;510,537;548,869;622,592;707,975;790,789;822,704;839,861;948,851;969,014;974,185;1143,024;1511,217;1350,401;1108,105;1247,974;1402,477;1565,807;1733,725
Fiji;2056,073;2062,163;1941,771;1781,084;1828,856;1744,388;1954,085;1776,896;1672,492;1747,117;1959,194;2012,454;2208,958;2339,817;2590,933;2779,973;2975,914;2900,261;2270,075;2638,512;2274,643;2234,467;2463,316;3072,964;3596,695;3940,024;4050,9;4405,164;4553,695;3682,455;4010,982;4802,511;5022,15;5277,41;5622,351;5397,131;5658,236;6049,889;6269,882;6079,485;4920,014;4750,073;5450,487;5933,167;6256,634;6550,83;6869,952;7202,996;7550,32;7904,938
Finland;11257,795;10990,447;11036,936;10545,058;10889,934;11488,754;14998,341;18632,076;22122,56;24040,639;28491,135;25650,711;22497,298;17641,392;20406,2;26322,115;25806,206;24750,37;26064,759;26236,007;24369,776;24998,587;26999,895;32954,317;37812,031;39142,224;41300,022;48586,821;53894,581;47538,607;46647,994;51174,768;47693,7;49804,351;50180,785;42625,16;43502,557;46109,916;49698,347;48395,834;48827,138;53203,799;50549,712;53130,693;54773,988;57182,644;59579,283;61737,464;64035,949;66399,18
France;12943,546;11337,545;10697,6;10173,031;9594,18;10000,416;13829,364;16652,793;18097,429;18086,117;22285,975;22224,296;24383,645;22935,583;24120,152;27639,485;27603,714;24968,294;25711,842;25444,074;23132,887;23122,412;24987,021;30525,466;34853,654;35978,363;37752,356;42982,755;47098,882;43177,991;42195,192;45503,206;42361,583;44210,568;44698,808;37989,114;38308,857;40036,974;42915,865;41831,481;40536,857;45315,56;42581,012;46305,162;48011,828;49526,711;51112,52;52502,872;54032,386;55575,61
Gabon;6093,615;5376,616;4930,527;4619,015;4346,388;4478,468;5735,355;4245,955;4581,144;4899,234;6815,634;5993,32;6015,511;5677,618;4293,942;4956,842;5552,917;5068,093;4161,617;4222,734;4477,321;4065,933;4210,284;5015,596;5837,617;6942,698;7271,093;8652,145;10418,276;7856,853;8933,306;10893,464;9903,41;9760,747;9746,786;7453,114;7082,218;7370,349;8198,56;8111,318;7289,442;9113,798;9478,236;9079,278;9256,657;9094,46;9127,831;9168,27;9230,524;9308,535
Gambia, The;1007,791;907,551;827,984;800,7;552,842;645,904;484,263;623,605;695,347;701,786;790,827;801,579;830,589;840,415;804,334;815,289;826,192;818,814;815,332;811,257;766,199;737,063;631,566;581,319;642,755;665,721;662,362;780,379;924,514;833,282;860,639;762,761;742,78;700,515;607,429;649,511;683,998;676,656;729,035;768,921;747,886;820,584;841,947;892,989;988,881;1074,431;1121,481;1151,391;1184,912;1238,556
Georgia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;172,501;413,486;688,363;818,054;869,519;690,373;763,707;820,006;875,188;1034,533;1338,086;1682,527;2052,257;2700,417;3419,915;2890,71;3269,917;4100,982;4518,061;4710,606;4833,664;4090,214;4142,174;4420,41;4800,794;4738,796;4308,286;5055,161;6773,539;8172,574;8882,635;9612,524;10342,24;11128,652;11871,545;12734,242
Germany;11150,445;9363,773;9048,007;9058,272;8569,045;8710,65;12432,393;15467,993;16575,159;16291,592;20323,326;23538,989;26660,209;25697,119;27359,713;31918,986;30778,982;27254,373;27636,064;27217,026;24158,215;24122,365;25752,683;31074,334;35000,56;35592,675;37530,238;43021,966;47153,994;43189,389;43233,452;47637,891;44763,54;47220,321;48983,25;41914,927;42949,139;45510,535;48897,189;47629,1;47341,768;52300,607;49725,343;53565,041;55521,345;57914,356;60136,009;61858,949;63569,266;65324,335
Ghana;3489,497;5537,473;6271,521;4114,248;1391,717;1213,391;1094,395;895,18;930,23;924,067;1045,595;1142,797;1102,843;881,079;793,796;918,741;950,015;945,584;1002,604;1012,277;606,501;630,698;714,42;860,469;973,287;1151,305;1320,283;1520,642;1688,077;1477,649;1757,045;2131,746;2197,908;2405,768;2008,586;1784,248;1982,239;2086,598;2276,264;2265,705;2274,469;2535,468;2305,225;2322,121;2231,793;2189,284;2283,84;2385,266;2485,505;2587,516
Greece;5948,312;5422,695;5623,925;5050,595;4895,517;4832,492;5670,974;6577,878;7632,639;7879,212;9679,318;10282,862;11234,158;10451,746;11122,873;12997,468;13776,645;13484,158;13526,648;13901,641;12268,279;12579,395;14185,446;18534,603;22015,177;22608,424;24858,548;28899,982;32173,559;29829,328;26743,4;25437,036;21844,999;21712,064;21554,224;18023,859;17906,1;18552,223;19750,71;19140,612;17570,395;20115,924;20818,073;22880,296;24341,505;25616,445;26688,45;27614,398;28580,908;29586,733
Grenada;1245,62;1276,37;1346,874;1372,669;1477,916;1678,085;1872,462;2162,546;2408,732;2757,871;2887,011;3117,904;3192,22;3153,808;3272,547;3411,983;3632,676;3861,381;4370,62;4705,807;5056,978;5045,854;5192,154;5641,159;5721,585;6658,021;6672,843;7226,881;7844,193;7333,246;7340,342;7299,874;7433,912;7760,348;8333,757;9055,801;9572,093;10098,821;10419,126;10779,062;9222,709;9868,861;10762,835;11515,617;12050,392;12722,146;13329,367;13882,425;14459,946;15070,638
Guatemala;1095,557;1167,139;1152,779;1166,876;1190,523;1370,329;722,421;815,776;861,646;969,113;832,552;986,745;1062,283;1128,142;1243,494;1365,822;1422,779;1574,094;1671,278;1540,251;1563,752;1662,394;1804,84;1859,96;1969,469;2176,293;2369,443;2599,124;2928,945;2714,018;2909,793;3265,46;3375,857;3522,256;3778,493;3994,231;4172,065;4452,202;4485,926;4646,84;4610,073;5053,653;5509,385;5933,036;6295,05;6682,416;7107,332;7566,41;8054,349;8573,682
Guinea;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;616,321;660,444;678,626;639,332;626,432;655,749;656,708;628,192;591,511;557,831;461,784;427,879;444,663;517,03;534,339;470,57;426,419;628,711;675,387;637,478;630,549;607,035;645,096;713,128;728,729;712,025;679,964;796,038;891,887;986,528;1008,687;1139,967;1334,939;1529,46;1652,312;1727,219;1797,568;1873,103;1952,997;2035,315
Guinea-Bissau;370,185;463,692;516,549;570,682;388,702;559,368;534,912;444,504;406,033;478,384;571,817;787,213;843,597;636,881;344,118;725,815;676,103;628,438;517,661;496,411;327,943;338,362;374,5;435,072;447,804;482,181;467,998;543,408;672,251;613,569;644,344;775,206;688,497;711,927;712,826;707,897;748,089;864,141;894,667;836,954;838,847;928,35;907,623;1035,294;1106,242;1166,355;1237,83;1306,966;1375,472;1449,153
Guyana;1101,855;1055,839;904,864;921,541;861,055;924,305;1053,703;982,258;1125,871;1146,242;950,968;1036,884;1145,783;1392,984;1626,898;1832,399;2048,527;2161,647;2035,856;2010,769;2017,2;2023,617;2092,961;2144,109;2232,996;2305,907;2551,768;2982,217;3329,637;3457,367;3837,303;4402,775;5360,276;5476,744;5402,703;5579,974;5796,819;6104,158;6120,536;6594,375;6952,702;9707;18353,123;21472,309;28920,551;30650,092;35404,993;36585,812;37902,902;39347,368
Haiti;447,907;484,33;494,856;521,763;567,915;619,461;676,077;327,179;212,61;192,614;240,23;211,528;124,533;147,025;397,214;618,383;626,299;706,797;773,837;847,945;794,059;720,822;684,333;540,556;660,218;773,35;794,79;991,684;1074,359;1168,747;1175,199;1269,346;1316,496;1408,807;1408,669;1359,209;1263,434;1337,16;1441,864;1277,213;1235,476;1765,242;1643,221;1603,278;2120,413;2434,525;2603,097;2644,733;2725,062;2827,274
Honduras;1080,431;1066,902;1091,787;1111,123;1183,298;1232,425;1287,141;1362,483;1469,405;1635,7;993,487;911,761;942,61;919,585;836,608;948,437;888,005;948,716;1023,397;1003,065;1080,511;1120,848;1121,999;1145,346;1204,108;1296,669;1420,252;1572,152;1727,787;1777,274;1891,159;2074,151;2129,351;2087,834;2190,499;2286,213;2325,495;2435,621;2489,849;2529,203;2332,526;2762,804;3033,97;3267,648;3446,298;3594,081;3725,725;3872,714;4028,495;4191,953
Hong Kong SAR;5703,963;5995,182;6139,013;5590,161;6170,503;6490,372;7380,118;9015,195;10527,458;12012,634;13374,312;15297,577;17710,506;20065,68;22194,005;23070,541;24698,956;27214,595;25649,085;24969,005;25574,491;25166,902;24731,081;23856,482;24873,898;26551,769;28028,157;30494,551;31487,94;30593,991;32421,361;34955,147;36623,745;38233,352;40185,303;42325,352;43488,204;46025,665;48310,038;48277,982;46446,056;49848,567;47999,502;50586,78;53164,778;55608,095;57903,446;60497,983;63060,075;65776,827
Hungary;2151,468;2207,127;2249,984;2046,399;1989,904;2022,961;2338,799;2582,848;2838,561;2909,703;3312,337;3350,243;3733,447;3871,071;4170,572;4491,216;4520,761;4591,492;4738,016;4786,245;4619,293;5269,607;6644,61;8409,098;10291,667;11211,246;11483,141;13926,753;15761,631;13066,422;13199,056;14214,126;12969,621;13693,038;14279,016;12700,301;13083,4;14606,266;16421,113;16782,01;16099,958;18714,856;18349,443;22131,628;23881,429;25703,442;27351,11;28999,814;30831,652;32750,335
Iceland;15129,182;15449,046;14003,083;11857,373;12130,436;12506,275;16571,593;22776,756;24820,302;22627,388;25629,431;27159,576;27357,171;23725,669;24117,987;26682,487;27713,605;28048,848;31219,801;32577,642;32344,364;29061,339;32516,441;39620,411;47579,937;57405,559;58238,886;70375,326;57296,251;41188,906;43293,021;48812,138;47102,062;51059,38;55885,704;54228,826;63775,711;74369,205;76745,081;70625,477;61094,329;72077,681;78840,397;83485,11;85786,894;90111,334;94821,003;99925,784;105294,808;110945,675
India;267,167;270,951;274,332;292,585;277,683;299,291;311,323;341,864;353,207;347,464;368,75;303,85;317,56;301,5;346,227;373,627;399,583;414,926;412,536;440,962;442,036;449,91;468,845;543,845;624,108;710,512;802,014;1022,732;993,503;1096,637;1350,634;1449,604;1434,018;1438,057;1559,864;1590,174;1714,28;1957,97;1974,378;2050,163;1915,552;2250,179;2366,31;2497,188;2697,563;2936,823;3210,381;3510,127;3836,829;4195,088
Indonesia;673,239;736,992;741,946;659,474;672,201;658,217;610,234;562,902;621,934;696,874;770,757;847,573;907,767;1013,057;1115,613;1254,023;1394,497;1308,114;572,09;829,574;870,154;834,139;1002,907;1186,465;1279,721;1404,348;1765,794;2064,003;2416,785;2469,384;3177,453;3690,097;3739,917;3667,435;3532,669;3373,489;3604,99;3885,967;3945,583;4192,768;3919,465;4351,304;4784,117;4919,949;4980,722;5247,591;5622,849;6014,84;6440,254;6882,975
Iran;2439,396;2485,685;2965,579;3560,281;3531,17;3793,905;4225,457;5467,98;6009,203;7133,821;10661,483;5445,574;890,842;1121,078;1368,369;1941,99;2631,462;3018,96;3314,906;4400,622;5776,857;5124,766;2020,838;2353,361;2764,807;3291,94;3863,502;5045,686;5890,712;6016,8;6983,777;8322,461;5548,304;5561,454;5910,083;5172,134;5730,832;6005,051;4054,938;2908,918;2326,664;3441,728;4431,515;4347,193;5012,844;5299,982;5640,19;5965,377;6270,742;6585,943
Iraq;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;608,655;1373,738;1828,738;2321,258;3090,851;4472,118;3701,862;4473,71;5848,537;6692,576;7021,406;6704,313;5044,624;4656,709;5117,127;6037,885;6048,921;4547,33;5116,534;6818,152;5826,035;5947,315;5950,59;6191,538;6416,717;6679,492;6971,858
Ireland;6254,051;5888,104;6079,936;5841,554;5593,459;5936,298;7995,507;9422,284;10368,341;10757,787;13648,814;13752,25;15336,415;14267,004;15459,911;19092,426;20787,52;22475,236;24209,638;26236,702;26187,358;28120,751;32482,159;40939,423;47387,991;50475,16;53737,841;60769,642;60989,707;51943,659;48636,309;52631,463;49386,473;52544,104;57175,016;64154,49;63933,791;71869,279;80411,864;81506,342;86313,772;103775,442;104728,5;103465,935;103500,385;107242,999;110905,828;114211,286;117573,209;121465,703
Israel;6396,519;6729,335;7084,884;7737,141;7231,345;6603,672;8005,197;9407,928;11463,224;11466,04;13117,723;14011,679;15115,703;14800,871;16470,651;19047,02;20271,918;20522,98;20207,806;19849,194;21717,968;20973,123;19087,376;19671,531;20593,467;21285,46;22558,596;25738,706;30278,46;28521,786;31450,574;34534,693;33335,422;37048,694;38360,49;36227,752;37683,096;41156,216;42379,785;44297,779;44842,685;52586,351;55249,283;52643,451;53110,949;54369,758;56630,633;57990,825;59485,658;61051,905
Italy;8511,792;7706,659;7610,37;7892,058;7797,171;8048,61;11397,445;14305,851;15845,543;16468,564;20536,935;21674,463;22988,054;18469,667;19043,086;20722,979;23135,807;21913,138;22395,147;22074,711;20205,515;20576,46;22473,536;27673,263;31451,559;32148,046;33602,692;37989,367;40968,981;37143,468;35963,743;38475,823;34926,415;35722,542;36022,586;30609,522;31357,601;32797,298;35042,793;33767,005;31956,855;36812,907;35653,833;39012,076;40286,836;41714,411;43020,055;44108,324;45325,371;46635,814
Jamaica;1214,379;1310,503;1479,509;1289,23;948;878,359;1034,771;1158,596;1372,734;1588,557;1971,695;1799,773;1804,411;2249,32;2234,803;2660,153;2975,134;3347,367;3467,544;3473,435;3510,575;3529,711;3709,572;3586,441;3855,674;4241,399;4494,63;4829,296;5134,246;4507,186;4894,369;5332,52;5448,456;5238,147;5105,511;5204,825;5183,462;5413,03;5729,757;5781,785;5072,599;5354,83;6197,798;7032,24;7486,621;7841,249;8102,466;8368,852;8646,61;8933,692
Japan;9671,861;10586,534;9782,353;10655,246;11210,518;11813,035;17457,069;21148,365;25506,113;25274,314;25809,663;29436,88;32007,708;36362,508;39953,203;44210,234;39164,322;35651,27;32436,929;36622,892;39172,971;34410,68;32832,296;35410,229;38307,103;37819,107;36021,9;35847,232;39992,06;41469,773;45135,796;48760,915;49175,035;40934,756;38522,771;35005,662;39411,424;38903,298;39850,331;40547,967;40160,067;40161,178;34158,343;33898,99;32859,112;35611,138;37388,165;38884,275;40809,475;42086,45
Jordan;1773,849;1914,507;1958,735;1969,502;1902,443;1829,115;2237,853;2253,478;2015,788;1292,473;1202,925;1192,601;1397,279;1377,572;1477,449;1516,116;1530,654;1560,985;1685,036;1699,599;1725,576;1795,047;1890,254;1959,792;2127,613;2312,884;2599,815;2773,893;3414,521;3618,892;3914,701;4152,495;4392,657;4483,942;4261,906;4069,994;4009,059;4078,871;4152,265;4165,547;4004,321;4158,625;4317,09;4488,417;4682,081;4904,036;5139,626;5384,264;5636,137;5895,388
Kazakhstan;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;168,645;304,849;751,98;1061,475;1358,804;1459,416;1480,091;1132,126;1229;1490,925;1658,032;2068,126;2874,286;3771,348;5291,55;6771,415;8513,567;7165,226;9070,49;11633,998;12386,701;13890,637;12807,262;10510,769;7715,462;9247,587;9812,626;9812,591;9121,636;10373,791;11486,06;13260,898;14569,9;15112,239;15874,022;16784,088;17536,404;18324,102
Kenya;855,46;776,768;721,646;644,496;646,56;622,796;716,676;758,158;759,491;728,324;737,207;674,68;644,596;434,811;505,902;623,706;686,838;677,763;742,079;647,881;617,139;617,047;611,893;668,475;692,709;778,323;854,981;1028,226;1118,755;1123,268;1176,311;1178,599;1396,22;1490,422;1613,101;1625,176;1688,852;1805,398;1987,302;2107,735;2067,987;2208,691;2265,658;2110;2218,025;2186,578;2184,801;2257,632;2373,765;2502,266
Kiribati;567,517;591,496;527,416;510,503;555,734;410,217;398,258;440,578;558,144;534,576;505,422;562,267;827,265;781,484;876,462;883,582;1031,874;1001,068;918,686;930,929;890,425;755,273;853,916;1082,547;1147,277;1231,148;1188,669;1432,089;1518,603;1410,095;1609,343;1877,755;1956,664;1886,873;1845,476;1742,421;1845,78;1959,95;2022,227;1847,108;1874,17;2385,414;2199,422;2230,805;2455,051;2578,422;2672,488;2746,78;2811,161;2879,233
Korea, Republic of;1776,545;1951,48;2064,248;2278,36;2500,45;2572,057;2937,274;3683,004;4920,184;6027,154;6848,715;7913,029;8419,953;9207,336;10756,116;13018,844;13886,996;12865,208;8570,151;11052,115;12716,99;11983,382;13637,337;15211,145;17107,739;20162,881;22596,681;25075,287;22291,166;19933,009;24069,073;26177,945;26600,549;28449,357;30667,091;30171,791;30825,524;33296,984;35363,952;33826,944;33653,204;37518,466;34822,405;35563,079;36131,846;37674,85;39321,404;41031,056;42698,988;44347,438
Kosovo;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1506,094;1704,288;1807,197;2205,535;2274,678;2318,3;2400,14;2865,639;3025,013;2878,492;3013,162;3562,033;3396,893;3699,477;3920,467;3554,1;3745,863;3991,249;4389,631;4432,996;4297,829;5309,124;5320,704;5922,406;6333,918;6708,954;7146,732;7552,459;7992,094;8461,544
Kuwait;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;15825,24;14766,792;15088,376;16623,468;15330,442;12796,952;14296,611;17639,079;15992,659;16856,637;20584,985;24863,764;35990,561;43618,251;47539,015;53059,162;38156,094;39342,103;47439,996;50783,678;48543,741;43458,841;29195,283;26795,706;28552,15;31369,182;31549,877;25610,725;35204,773;38380,031;33321,28;32289,977;31681,846;31827,951;32164,449;32640,296;33198,134
Kyrgyz Republic;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;207,976;148,155;245,851;329,934;396,495;379,056;344,404;258,467;280,635;309,913;323,343;382,888;436,496;478,77;546,621;725,487;971,678;876,933;884,846;1131,471;1189,517;1295,225;1292,621;1132,843;1131,841;1254,51;1321,954;1466,956;1270,961;1390,9;1805,648;2018,911;2228,777;2405,246;2507,289;2624,827;2726,797;2835,984
Lao P.D.R.;584,594;335,22;327,897;584,805;815,211;997,615;678,461;464,657;294,242;353,313;406,199;464,923;517,905;567,21;641,635;727,106;739,317;682,509;254,24;264,926;316,667;318,271;328,928;397,312;459,603;525,985;661,572;787,382;969,073;1032,328;1187,022;1397,003;1566,197;1813,802;1982,523;2124,256;2307,838;2437,127;2551,83;2602,623;2528,997;2495,962;2022,383;1970,845;1945,131;1854,184;1704,209;1553,582;1427,965;1313,885
Latvia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;632,992;1022,375;1725,207;2163,747;2419,562;2670,492;2961,556;3140,581;3343,184;3553,667;4120,691;5121,736;6342,835;7569,831;9690,458;14079,584;16435,21;12243,072;11316,932;13371,012;13786,588;14927,223;15685,979;13728,365;14259,249;15626,275;17806,56;17828,071;18013,227;20847,701;21566,931;23175,505;24222,809;25681,018;27203,055;28632,327;30152,559;31772,634
Lebanon;1356,473;1269,352;853,614;1162,314;1349,451;1105,075;840,304;959,706;945,712;760,699;779,344;1197,909;1461,022;1946,912;2311,748;2770,619;3178,874;3782,132;4082,32;4040,828;3938,847;3955,314;4236,269;4325,581;4625,239;4629,975;4665,929;5162;5957,729;7149,809;7695,22;7914,089;8500,137;8255,236;7665,322;7802,702;8172,768;8680,307;9225,506;8808,242;4410,402;3537,129;4467,189;4486,987;no data;no data;no data;no data;no data;no data
Lesotho;334,43;330,808;268,415;289,889;265,387;207,228;232,527;290,681;323,516;329,019;391,983;452,08;505,038;494,606;512,036;549,606;524,624;551,041;508,557;501,75;493,333;414,027;457,662;670,897;852,696;922,416;916,563;930,798;868,532;1011,42;1222,197;1324,607;1261,443;1191,994;1250,627;1104,543;1099,146;1199,628;1215,317;1134,4;1014,795;1162,787;1073,483;1034,246;1061,813;1106,795;1146,294;1187,183;1226,297;1270,449
Liberia;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;303,143;305,909;311,768;231,891;286,104;293,471;333,151;388,154;464,437;470,218;505,363;582,614;646,662;716,576;708,816;691,369;709,824;706,239;677,356;623,887;600,475;677,387;749,187;808,259;855,186;887,426;918,578;956,794;1007,411;1044,757
Libya;13449,648;11107,625;10575,644;9671,452;8681,163;8586,407;6733,969;6002,067;5981,627;6070,096;7424,17;8026,293;7950,512;6998,262;6391,134;7102,861;7608,817;7663,003;6171,767;7294,482;7625,01;6693,083;3956,483;4986,326;6180,388;8739,202;10561,378;11801,274;14762,577;10195,762;12478,014;8132,318;14728,068;12026,021;9168,285;7706,743;7817,631;10413,84;11773,86;10525,706;7058,334;5248,302;6386,468;6422,118;6482,099;6874,384;7138,371;7230,392;7371,839;7528,663
Lithuania;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;1843,729;2325,762;2828,918;3165,823;3112,469;3288,737;3525,851;4141,98;5497,669;6686,279;7859,932;9239,892;12308,603;14986,833;11851,028;12006,511;14397,447;14354,659;15748,605;16580,198;14262,518;15012,141;16866,728;19195,354;19623,637;20348,942;23873,118;25188,866;26997,801;28712,702;30513,583;32217,974;33978,169;35834,503;37813,416
Luxembourg;17666,822;15190,151;12464,077;12234,721;11984,326;12393,837;17950,08;22149,615;24875,596;26227,017;33067,032;35346,644;39061,19;39483,229;43307,076;50705,305;49719,082;44202,752;45636,752;49341,44;48984,386;48719,11;53227,765;66160,728;77030,646;81728,362;91478,339;108344,137;121616,145;110249,419;112049,15;120526,246;113953,737;121422,921;125200,137;106710,273;107948,199;111211,579;117993,371;113860,351;117616,151;134924,978;126597,939;129810,315;135321,424;141079,52;145409,65;148487,909;151722,573;155203,765
Macao SAR;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;15723,751;16733,977;18461,835;23005,586;25109,973;28970,428;34268,703;38286,226;39822,349;51135,159;66111,715;74209,14;84833,692;86298,091;69647,776;69887,827;77145,531;82695,455;81051,045;37100,934;45329,599;36361,139;69079,723;77186,16;84276,032;88934,699;92899,34;96899,027;101349,599
Madagascar;599,371;534,073;522,936;498,801;404,876;383,873;427,478;307,636;297,42;288,402;347,714;280,355;311,649;331,998;279,38;295,539;368,663;309,351;310,104;292,558;307,335;350,5;334,838;387,055;298,635;335,388;355,397;459,855;561,654;488,901;492,67;553,45;538,541;560,939;548,905;481,807;489,439;528,379;535,948;531,75;477,375;516,529;522,583;530,466;562,585;575,742;607,133;642,087;690,844;728,275
Malawi;460,392;447,79;416,18;419,657;400,328;358,713;354,471;327,758;354,718;384,328;420,593;523,591;422,469;483,263;278,145;319,894;512,064;583,417;373,078;368,272;352,65;338,478;384,137;345,163;365,696;377,042;400,898;432,115;504,65;571,113;623,414;695,331;506,3;446,999;484,322;497,737;415,016;466,559;501,113;543,685;567,59;580,923;567,203;557,633;463,733;448,289;446,708;456,013;467,806;480,632
Malaysia;1926,963;1920,127;2006,482;2189,553;2419,501;2154,458;1864,031;2070,009;2213,866;2380,512;2586,278;2885,568;3378,909;3716,921;4029,272;4671,084;5175,901;5012,378;3521,119;3762,769;4347,73;4189,053;4441,824;4740,324;5244,873;5678,332;6351,127;7480,893;8766,175;7543,882;9046,978;10397,902;10806,823;10851,657;11165,249;9663,122;9523,316;9965,123;11079,617;11228,293;10400,219;11474,241;12483,329;12090,597;13142,345;14423,065;15255,525;15982,211;16789,198;17591,658
Maldives;412,508;464,914;534,906;560,243;646,388;737,78;835,636;769,824;897,934;987,814;1091,55;1184,664;1343,012;1479,446;1591,14;1903,127;2107,605;2553,949;2658,803;2842,658;2967,253;2780,451;2952,215;3690,798;4238,046;3960,437;5268,793;6128,48;7337,951;7450,805;8086,697;8078,305;8719,582;9766,235;10787,471;11838,621;12435,588;13373,779;14762,266;15374,179;9803,066;13637,448;15765,502;16541,03;17286,827;18599,207;19578,228;20531,131;21529,732;22566,718
Mali;275,479;220,336;190,681;180,346;176,396;174,171;237,685;272,304;268,77;322,213;360,285;359,96;362,204;353,655;265,119;336,392;337,183;309,659;313,318;315,484;263,615;299,414;326,736;381,853;427,523;474,257;506,939;579,325;678,346;681,803;688,89;810,04;753,869;778,808;818,665;723,581;749,846;795,387;856,743;840,211;831,034;902,852;809,941;865,599;898,46;933,147;970,433;1004,077;1040,048;1078,096
Malta;4020,047;3893,505;3656,785;3440,898;3284,434;3296,834;4169,336;5165,569;5824,646;6041,158;7183,709;7609,148;8379,121;7392,412;8104,131;9469,279;9605,089;9647,634;10147,493;10529,187;11054,517;11086,391;11868,857;13754,627;15325,262;15852,477;16748,278;19655,101;22487,727;21318,804;21989,786;23585,252;23028,989;25554,391;27690,937;25795,214;26691,849;30754,81;33973,293;33105,744;31818,84;38232,197;36902,114;41204,739;44140,016;46644,353;48643,927;50375,013;52306,171;54377,256
Marshall Islands;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2229,856;2241,09;2230,968;2246,583;2426,822;2657,16;2625,136;2634,183;2695,09;2780,785;2904,991;2793,934;2892,871;3043,357;3241,393;3437,541;3595,842;3651,958;3680,813;4143,728;4547,783;4850,533;5274,862;5502,426;6103,305;6118,995;6417,177;6850,231;7150,778;7367,181;7575,517;7801,061;8048,713
Mauritania;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;898,741;1002,023;1026,904;852,513;872,712;912,587;904,326;854,319;812,206;773,412;673,361;641,849;634,588;711,709;796,923;963,498;1357,425;1425,466;1647,288;1475,591;1715,923;2012,828;1946,079;2072,492;1826,78;1668,065;1690,813;1758,542;1882,203;1945,05;2040,677;2152,336;2206,776;2403,679;2376,285;2393,647;2459,935;2553,006;2690,755;2734,134
Mauritius;1285,181;1202,559;1139,539;1195,617;1094,957;1099,752;1473,694;1852,036;2132,884;2174,94;2590,272;2819,084;3133,035;3191,192;3492,709;3954,762;4047,248;3753,498;3751,708;3911,109;4157,831;4081,162;4252,93;5072,811;5701,753;5590,468;5772,667;6663,186;8138,17;7416,659;8108,095;9320,873;9416,335;9766,77;10366,355;9507,999;9967,673;10844,145;11642,891;11407,849;9010,929;9086,524;10250,571;11543,601;12601,486;13098,934;14110,026;15130,848;16215,701;17351,751
Mexico;3557,305;4461,156;3162,5;2519,488;2904,686;3015,01;2043,27;2194,692;2631,484;3144,69;3640,26;4281,697;4873,452;5933,292;6086,828;4109,778;4597,153;5484,708;5759,186;6435,62;7467,739;7902,129;7934,694;7390,343;7806,561;8626,151;9456,912;10063,621;10438,499;8346,772;9632,818;10554,35;10631,077;11099,184;11272,395;9915,089;8999,57;9542,783;9970,967;10259,746;8742,217;10180,182;11259,75;13641,033;13971,898;13630,15;14175,409;14728,524;15298,625;15860,329
Micronesia, Fed. States of;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;no data;2079,644;2042,84;1923,698;2032,999;2034,555;2145,791;2215,079;2233,027;2270,188;2225,291;2329,628;2367,169;2412,272;2483,688;2656,607;2826,044;2960,255;3107,839;3012,693;3033,927;3015,192;3189,875;3546,689;3933,37;4001,004;3829,739;4063,49;4540,027;4864,704;5119,566;5363,506;5558,945;5720,226;5879,649;6039,222
