"Daily smokers"
"% of population aged 15+, 2015"
"Category";"Total";"Women";"Men"
"France";29,4;25,8;33,1
"Italy";19,8;15,8;24,9
"Ireland";19;17;20
"Netherlands";19;16,9;21,2
"Czechia";18,2;14,8;21,8
"Japan";18,2;7,9;30,1
"United Kingdom";17,8;16,6;19,1
"Korea";17,3;3,4;31,4
"Finland";16,6;14,5;18,8
"New Zealand";15,1;14;16,3
"Luxembourg";15;13,9;16
"Canada";13,1;11,3;14,9
"Norway";13;12;13
"United States";11,4;10,7;12,2
"Sweden";11,2;10,7;11,7
"Costa Rica";11;5,8;16,1
"Iceland";10,9;11;10,7
"Mexico";7,6;3,6;11,9
